;
; These settings are not part recommendations, nor are they an 
; indication these parts are supported on Intel platforms. 
; All parts on this list have NOT been validated, and it is the 
; responsibility of the customer to validate the flash parts used
; on their platform.
;
; Flash parts may change opcodes and architectures so please refer
; to the respective flash datasheet and errata/application note and
; flash vendor to confirm.
;
;Description of fields:
;  1) Display name
;  2) Device ID (2 or 3 bytes)
;  3) Device Size (in bits)
;  4) Block Erase Size (in bytes - 256, 4K, 64K)
;  5) Block Erase Command
;  6) Write Granularity (1 or 64)
;  7) Enable Write Status Register Command (1- True, 0- False)

;winbond
W25M512JV, 0xEF7119, 0x20000000, 0x1000, 0x20, 64, 0
W25Q256FV, 0xEF4019, 0x10000000, 0x1000, 0x20, 64, 0
W25Q256JV, 0xEF4019,  0x10000000, 0x1000, 0x20, 64, 0
W25Q256JW,0xEF6019,  0x10000000, 0x1000, 0x20, 64, 0
W25Q128FV,0xEF4018, 0x8000000,  0x1000, 0x20, 64, 0
W25R128FV,0xEF4018, 0x8000000,  0x1000, 0x20, 64, 0
W25Q128JV, 0xEF4018, 0x8000000, 0x1000, 0x20, 64, 0
W25Q128FW,0xEF6018, 0x8000000,  0x1000, 0x20, 64, 0
W25Q64FV, 0xEF4017, 0x4000000,  0x1000, 0x20, 64, 0
W25R64FV, 0xEF4017, 0x4000000, 0x1000, 0x20, 64, 0
W25Q64JV, 0xEF4017, 0x4000000, 0x1000, 0x20, 64, 0
W25Q64FW, 0xEF6017, 0x4000000, 0x1000, 0x20, 64, 0
W25Q32FV, 0xEF4016, 0x2000000, 0x1000, 0x20, 64, 0
W25Q32JV, 0xEF4016, 0x2000000, 0x1000, 0x20, 64, 0
W25Q32FW, 0xEF6016, 0x2000000, 0x1000, 0x20, 64, 0
W25Q16DV, 0xEF4015, 0x1000000, 0x1000, 0x20, 64, 0
W25Q16JV, 0xEF4015, 0x1000000, 0x1000, 0x20, 64, 0
W25Q16CL, 0xEF4015,  0x1000000, 0x1000, 0x20, 64, 0
W25Q16DW, 0xEF6015,  0x1000000, 0x1000, 0x20, 64, 0
W25Q16FW, 0xEF6015, 0x1000000, 0x1000, 0x20, 64, 0
W25Q80DV, 0xEF4014,  0x800000, 0x1000, 0x20, 64, 0
W25Q80JV, 0xEF4014,  0x800000, 0x1000, 0x20, 64, 0
